TW_SPOTIFY_POS,SPOTIFY_CHART_MOVEMENT,ARTIST_TITLE,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS
98,+6,Taylor Swift - cardigan,398,1,(x6),61223,2789.0,382429,9604,23427981
99,+13,The Lumineers - Ophelia,156,72,,61195,3743.0,397727,1116,5857704
100,+1,Tory Lanez - The Color Violet,522,27,,60793,1436.0,399375,1139,32258750
101,-1,Ice Spice - Think U The Shit (Fart),4,85,,60740,814.0,229896,60740,229896
102,-4,Gunna - fukumean,219,5,,60668,726.0,414063,-5474,23796299
103,+6,Marvin Gaye - Ain't No Mountain High Enough (w/ Tammi Terrell),234,64,,60323,2704.0,434222,-6424,11106838
104,+6,Nicki Minaj - FTCU,47,45,,59885,2280.0,408794,-4092,3140312
105,+11,Florence + The Machine - Dog Days Are Over,290,52,,59554,3067.0,390158,-342,13539493
106,-1,Kanye West - Father Stretch My Hands Pt. 1,207,51,,59464,1238.0,400785,1883,7727624
107,+7,Frank Ocean - Lost,854,15,,58746,1603.0,408343,-1053,44556250
108,-5,Eminem - Without Me,1045,39,,58726,258.0,416374,-2379,46255149
109,-2,Matt Sassari - Give It To Me - Full Vocal Mix,228,88,,58592,834.0,400481,-5556,10162899
110,+7,Taylor Swift - Karma,337,7,,58440,2153.0,377828,3368,24360337
111,0,Jordan Davis - Buy Dirt (w/ Luke Bryan),270,92,,58294,798.0,407758,1608,12864572
112,-10,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",760,40,,58173,-386.0,402981,-3788,38148501
113,0,Kings of Leon - Sex on Fire,1111,55,,57634,435.0,399149,-1648,46654220
114,+1,Kanye West - Runaway (w/ Pusha T),79,81,,57000,-63.0,399276,968,4326183
115,+3,The Kid LAROI - Stay (w/ Justin Bieber),933,1,(x160),56442,625.0,395237,-3864,124956756
116,+3,Coldplay - Viva La Vida,531,24,,56266,951.0,391323,-372,28609910
117,+5,Nicki Minaj - Big Foot,2,117,,56233,1327.0,111139,56233,111139
