ARTIST_TITLE,SPOTIFY_POS,SPOTIFY_MOVEMENT,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_DAILY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS,ON_TOUR,ACTIVE_PROMO,ARIA_LW,ARIA_TW
Hozier - Take Me To Church,145,13,1948,2,45,51517,2316,292845,176,62159326,,,,
Empire of the Sun - Walking On A Dream,146,4,698,92,,51407,513,373732,-2708,27838321,,,,
Drake - Jimmy Cooks (w/ 21 Savage),147,-2,584,4,,51386,-232,295840,-1365,37414498,,,,
"Metro Boomin - Creepin' (w/ The Weeknd, 21 Savage)",148,1,423,2,4,51141,139,350594,-1610,45060849,,,,
Miguel - Sure Thing,149,5,478,11,,50882,922,295687,-1726,31970148,,,,
Chance Peña - i am not who i was,150,-14,9,136,,50775,-2090,252568,246,445807,,,,
Eminem - The Real Slim Shady,151,-5,1000,52,,50775,-722,369776,-2186,42743113,,,,
Fleetwood Mac - Everywhere - 2017 Remaster,152,-4,599,66,,50761,-347,368621,-8485,25196127,,,,
The Weeknd - Die For You,153,3,643,21,,50553,1092,288773,2523,40955749,,,,
Arctic Monkeys - I Wanna Be Yours,154,-21,516,63,,50543,-2572,303918,-153,24488035,,,,
5 Seconds of Summer - Youngblood,155,5,1737,1,41,50538,1536,293401,-523,116821424,,,,
Billie Eilish - lovely (w/ Khalid),156,21,1998,4,,49966,2819,280474,3794,106090246,,,,
Travis Scott - MY EYES,157,4,57,11,,49592,779,287270,195,3219691,,,,
The Kid LAROI - BLEED,158,-6,68,32,,49558,-620,147419,49558,4265210,,,,
Drake - IDGAF (w/ Yeat),159,6,112,5,,49538,1014,284642,1054,8344413,,,,
Olivia Rodrigo - good 4 u,160,10,843,1,54,49165,974,194512,1709,87789663,,,,
Taylor Swift - The Man,161,7,97,15,,49026,704,244022,-1397,5261060,,,,
Travis Scott - I KNOW ?,162,1,164,16,,48928,248,286839,116,9266617,,,,
"Tyler, The Creator - See You Again (w/ Kali Uchis)",163,-1,314,12,,48857,54,286876,-802,19697285,,,,
Ed Sheeran - Shivers,164,9,867,4,,48821,1247,288713,-2818,81302230,,,,
Jungle - Back On 74,165,-18,33,125,,48765,-2425,152269,48765,1509760,,,,
Bon Jovi - Livin' On A Prayer,166,-2,357,75,,48560,-110,355802,-2711,13698763,,,,
Kanye West - Homecoming (w/ Chris Martin),167,-8,80,126,,48497,-576,286672,-1475,3714278,,,,
Reneé Rapp - Not My Fault (w/ Megan Thee Stallion),168,3,2,168,,48452,348,96556,48452,96556,,,,
Journey - Don't Stop Believin' (2022 Remaster),169,-2,38,51,,48274,-63,354131,-1512,1937264,,,,
Lewis Capaldi - Before You Go,170,14,1346,9,,48236,1687,275850,210,82916206,,,,
PinkPantheress - Boy's a liar Pt. 2 (w/ Ice Spice),171,8,336,1,36,48103,1121,183205,48103,42732617,,,,
Noah Kahan - You’re Gonna Go Far,172,,12,146,,47920,69,240537,-2827,579985,,,,
Carly Rae Jepsen - Call Me Maybe,173,1,280,113,,47885,450,289855,266,11877448,,,,
The Beatles - Here Comes The Sun - Remastered 2009,174,,53,111,,47869,,286898,739,2276358,,,,
Frank Ocean - Thinkin Bout You,175,1,84,60,,47844,640,180936,47844,1262040,,,,
Taylor Swift - august,176,7,190,12,,47726,1114,139160,1468,10401553,,,,
Tiësto - 10:35 (w/ Tate McRae),177,-2,431,12,,47654,251,277081,-1704,30665591,,,,
Olivia Rodrigo - get him back!,178,-21,93,4,,47617,-1783,186889,47617,8771979,,,,
Queen - Crazy Little Thing Called Love - Remastered 2011,179,,32,141,,47552,,282553,192,1319041,,,,
Kanye West - Gold Digger (w/ Jamie Foxx),180,8,1261,40,,47507,1307,294035,7,23546827,,,,
4batz - act ii: date @ 8,181,-1,4,180,,47266,339,135564,47266,181641,,,,
Foo Fighters - Everlong,182,15,578,32,,47192,1806,232238,-371,26306581,,,,
Lady Gaga - Shallow (w/ Bradley Cooper),183,,1791,4,,46951,,232748,-442,102318688,,,,
"Metro Boomin - Too Many Nights (w/ Future, Don Toliver)",184,6,292,32,,46757,613,230078,567,15571641,,,,
Mac Miller - The Spins,185,2,340,100,,46744,428,187305,-2736,11756781,,,,
Bryan Martin - We Ride,186,,56,136,,46666,256,286977,-3364,2611311,,,,
Lil Tecca - 500lbs,187,,25,134,,46557,,46557,-300,1171479,,,,
Kendrick Lamar - Money Trees (w/ Jay Rock),188,3,731,27,,46534,445,191135,-529,35636178,,,,
Tracy Chapman - Fast Car,189,,194,107,,46529,,234730,-3897,6498009,,,,
Akon - Smack That (w/ Eminem),190,-8,54,139,,46476,-200,281012,-574,2434941,,,,
Fred again.. - ten (w/ Jozzy),191,-25,15,59,,46379,-2144,142369,46379,758765,,,,
Imagine Dragons - Thunder,192,-14,965,6,,46348,-688,284022,-4249,53984995,,,,
Taylor Swift - Delicate,193,2,143,21,,46328,602,92054,46328,8023868,,,,
The Killers - Somebody Told Me,194,-9,12,105,,46311,-226,92848,46311,347161,,,,
Van Morrison - Brown Eyed Girl,195,,975,64,,46300,,291757,-5849,37866360,,,,
Eminem - Mockingbird,196,-3,391,33,,46142,254,273103,46142,21264233,,,,
50 Cent - In Da Club,197,-1,588,46,,46043,640,283073,-972,23568097,,,,
Lana Del Rey - Say Yes To Heaven,198,-45,109,14,,45875,-4133,145756,45875,7250706,,,,
Fleetwood Mac - Go Your Own Way - 2004 Remaster,199,-1,1544,50,,45873,711,336922,-4452,62230849,,,,
Eminem - Love The Way You Lie (w/ Rihanna),200,-11,71,101,,45697,-453,273509,45697,3191623,,,,
