Artist,Title,Playlist,Position,Followers
KYE,NOW COME ON NOW,New Music Friday AU & NZ,63,370625
"SXMPRA, Jasiah",UNTAMED (feat. Jasiah),New Music Friday AU & NZ,64,370625
Girl and Girl,Hello,New Music Friday AU & NZ,65,370625
Girl and Girl,Hello,Indie Arrivals,33,70676
Adrianne Lenker,Fool,New Music Friday AU & NZ,66,370625
Adrianne Lenker,Fool,Indie Arrivals,34,70676
Jaguar Jonze,whiplash,New Music Friday AU & NZ,67,370625
Jaguar Jonze,whiplash,Indie Arrivals,42,70676
Charlotte Day Wilson,I Don't Love You,New Music Friday AU & NZ,68,370625
Charlotte Day Wilson,I Don't Love You,Indie Arrivals,40,70676
glaive,god is dead,New Music Friday AU & NZ,69,370625
"Hands Like Houses, Emmy Mack",BLOODRUSH,New Music Friday AU & NZ,70,370625
"Hands Like Houses, Emmy Mack",BLOODRUSH,Rock Out.,15,90232
Glass Beams,Mahal - Edit,New Music Friday AU & NZ,71,370625
Glass Beams,Mahal - Edit,Indie Arrivals,13,70676
0800,TRIPLE IT,New Music Friday AU & NZ,72,370625
0800,TRIPLE IT,Beats n' Bars,14,95084
0800,TRIPLE IT,the hybrid,9,26946
"Riley Pearce, Liang Lawrence",Indefinitely,New Music Friday AU & NZ,73,370625
"Riley Pearce, Liang Lawrence",Indefinitely,Coffee + Chill,13,542103
Merryn Jeann,THANK GOD! FOR ASTROLOGY!,New Music Friday AU & NZ,74,370625
"Bombay Bicycle Club, Rae Morris",Better Now (feat. Rae Morris),New Music Friday AU & NZ,75,370625
"Bombay Bicycle Club, Rae Morris",Better Now (feat. Rae Morris),Rock Out.,16,90232
Last Dinosaurs,Keys To Your Civic,New Music Friday AU & NZ,76,370625
Xavier Rudd,World Order - Part 1,New Music Friday AU & NZ,77,370625
Julia Pośnik,Every Single Person I Know,New Music Friday AU & NZ,78,370625
ShockOne,Alone,New Music Friday AU & NZ,79,370625
"Sara James, LOVA",Blue ft. LOVA,New Music Friday AU & NZ,80,370625
"Sara James, LOVA",Blue ft. LOVA,Pop n' Fresh,32,120591
Lil Spacely,Win,New Music Friday AU & NZ,81,370625
Lil Spacely,Win,The Drip,9,89193
THE BLSSM,sway,New Music Friday AU & NZ,82,370625
THE BLSSM,sway,Indie Arrivals,35,70676
Husky,How to Forget,New Music Friday AU & NZ,83,370625
Husky,How to Forget,Coffee + Chill,20,542103
