Date,Artist,Title,Playlist,Position,Followers
2024-02-16,Mzuki,Billionaire,The Drip,6,89180
2024-02-16,"Lola Brooke, 41",Becky (feat. 41),New Music Friday AU & NZ,61,370523
2024-02-16,"Lola Brooke, 41",Becky (feat. 41),The Drip,5,89180
2024-02-16,"James Hype, Tita Lau",Vibrate,New Music Friday AU & NZ,62,370523
2024-02-16,"James Hype, Tita Lau",Vibrate,Dance Generation,5,411035
2024-02-16,"James Hype, Tita Lau",Vibrate,New Dance Beats,5,139675
2024-02-16,WHO SHOT SCOTT,MI6,New Music Friday AU & NZ,63,370523
2024-02-16,WHO SHOT SCOTT,MI6,The Drip,8,89180
2024-02-16,WHO SHOT SCOTT,MI6,the hybrid,13,26942
2024-02-16,Lizzy McAlpine,Older,New Music Friday AU & NZ,64,370523
2024-02-16,"PVRIS, Tommy Genesis, Alice Longyu Gao",Burn The Witch,New Music Friday AU & NZ,65,370523
2024-02-16,"PVRIS, Tommy Genesis, Alice Longyu Gao",Burn The Witch,Rock Out.,4,90212
2024-02-16,AMARNI,Body,New Music Friday AU & NZ,66,370523
2024-02-16,AMARNI,Body,The Flavour,20,245679
2024-02-16,AMARNI,Body,The Drip,26,89180
2024-02-16,"Calvin Harris, Rag'n'Bone Man",Lovers In A Past Life (with Rag'n'Bone Man),New Music Friday AU & NZ,67,370523
2024-02-16,"Calvin Harris, Rag'n'Bone Man",Lovers In A Past Life (with Rag'n'Bone Man),Dance Generation,2,411035
2024-02-16,"Calvin Harris, Rag'n'Bone Man",Lovers In A Past Life (with Rag'n'Bone Man),New Dance Beats,1,139675
2024-02-16,"Calvin Harris, Rag'n'Bone Man",Lovers In A Past Life (with Rag'n'Bone Man),Pop n' Fresh,10,120580
2024-02-16,X Ambassadors,Your Town,New Music Friday AU & NZ,68,370523
2024-02-16,X Ambassadors,Your Town,Indie Arrivals,49,70658
2024-02-16,Nicky Youre,S.A.D.,New Music Friday AU & NZ,69,370523
2024-02-16,Big Scary,What It's All About,New Music Friday AU & NZ,70,370523
2024-02-16,Big Scary,What It's All About,Indie Arrivals,24,70658
2024-02-16,Maren Morris,Dancing with Myself,New Music Friday AU & NZ,71,370523
2024-02-16,KIAN,TRY HARD,New Music Friday AU & NZ,72,370523
2024-02-16,KIAN,TRY HARD,Indie Arrivals,39,70658
2024-02-16,Lainey Wilson,Country's Cool Again,New Music Friday AU & NZ,73,370523
2024-02-16,Lainey Wilson,Country's Cool Again,Fresh Country,16,379095
2024-02-16,Sasha Alex Sloan,Highlights,New Music Friday AU & NZ,74,370523
2024-02-16,"Dent May, Jordana",Coasting On Fumes,New Music Friday AU & NZ,75,370523
2024-02-16,"Dent May, Jordana",Coasting On Fumes,Indie Arrivals,38,70658
2024-02-16,"Tribbs, Neptunica, Beks",To Be Loved,New Music Friday AU & NZ,76,370523
2024-02-16,iann dior,House On Fire,New Music Friday AU & NZ,77,370523
2024-02-16,"Dr Packer, Angelo Ferreri",Ain't No Fool - Angelo Ferreri Remix,New Music Friday AU & NZ,78,370523
2024-02-16,Dave Winnel,Bang It,New Music Friday AU & NZ,79,370523
2024-02-16,Dave Winnel,Bang It,Dance Generation,13,411035
2024-02-16,Dave Winnel,Bang It,New Dance Beats,19,139675
2024-02-16,"Zac Brown Band, Avicii",Beautiful Drug (feat. Avicii) - Remix,New Music Friday AU & NZ,80,370523
2024-02-16,Jebediah,Motivation,New Music Friday AU & NZ,81,370523
2024-02-16,Alfie Templeman,Eyes Wide Shut,New Music Friday AU & NZ,82,370523
2024-02-16,Obscura Hail,Foreign Substances,New Music Friday AU & NZ,83,370523
2024-02-16,Obscura Hail,Foreign Substances,Indie Arrivals,40,70658
2024-02-16,Maya Hawke,Missing Out,New Music Friday AU & NZ,84,370523
