Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-03-01,Headie One,Socials,New Music Friday AU & NZ,24,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Headie One,Socials,A1,12,438817,https://i.scdn.co/image/ab67706f0000000377e142a37a93ae224ad7cdb1,Cardi B
2024-03-01,Headie One,Socials,The Drip,14,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,Headie One,Socials,triple j's New Music Hitlist,6,310214,,
2024-03-01,Griff,Miss Me Too,New Music Friday AU & NZ,25,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Griff,Miss Me Too,Pop n' Fresh,18,120680,https://i.scdn.co/image/ab67706f00000003419043fbde52eba2ab2d483f,Sycco
2024-03-01,DaBaby,GRAMMY PARTY,New Music Friday AU & NZ,26,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,DaBaby,GRAMMY PARTY,A1,9,438817,https://i.scdn.co/image/ab67706f0000000377e142a37a93ae224ad7cdb1,Cardi B
2024-03-01,DaBaby,GRAMMY PARTY,The Drip,21,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,teo glacier,pretend,New Music Friday AU & NZ,27,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,teo glacier,pretend,R&B Connect,10,198449,https://i.scdn.co/image/ab67706f000000031873c18d49f70ac328def316,A.GIRL
2024-03-01,Everything Everything,Enter the Mirror,New Music Friday AU & NZ,28,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Everything Everything,Enter the Mirror,Indie Arrivals,17,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Everything Everything,Enter the Mirror,Rock Out.,44,90566,https://i.scdn.co/image/ab67706f0000000322f9f53ad4072c05c72924b3,Mannequin Pussy
2024-03-01,Tiny Habits,Mudroom,New Music Friday AU & NZ,29,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Tiny Habits,Mudroom,Coffee + Chill,1,544004,,
2024-03-01,Georgia Lines,Grow Old Without You,New Music Friday AU & NZ,30,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Georgia Lines,Grow Old Without You,Indie Arrivals,15,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Georgia Lines,Grow Old Without You,Alt Here,7,47872,https://i.scdn.co/image/ab67706f000000033b0354686e7b8ccff95a6fdf,St. Vincent
2024-03-01,Teenage Dads,Weaponz,New Music Friday AU & NZ,31,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Teenage Dads,Weaponz,Indie Arrivals,6,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Teenage Dads,Weaponz,Rock Out.,9,90566,https://i.scdn.co/image/ab67706f0000000322f9f53ad4072c05c72924b3,Mannequin Pussy
2024-03-01,Teenage Dads,Weaponz,triple j's New Music Hitlist,5,310214,,
2024-03-01,"Miko Mal, Mixtape Madness",Next Up Australia - S1-E8,New Music Friday AU & NZ,32,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Miko Mal, Mixtape Madness",Next Up Australia - S1-E8,The Drip,9,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,"Ruger, Bnxn",Romeo Must Die (RMD),New Music Friday AU & NZ,33,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,JAY1,Sunday Service,New Music Friday AU & NZ,34,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,JAY1,Sunday Service,The Drip,8,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
